Corporation Name,Email,Address,Business Turnover (M$),Duration of Business (Years),Past Loan Repayment Rate (%),Loan Default Count,Credit Rating,Previous Loan Interest Rate (%),Loan Tenure Requested (Years),Past Loan ROI (%),Loan Amount Requested (M$),Associated Project ROI (%),Loan Approval Label
Young-Salinas,debrabuchanan@jones.org,"94333 Moore Curve Apt. 304, Allisonmouth, OK 93061",44.58,12,91.51,0,805,14.07,8,15.38,5.92,20.0,Approved
"Jimenez, Vazquez and Thompson",nmitchell@hotmail.com,"2005 Rhonda Island Apt. 769, Brandyburgh, MO 59508",38.28,11,84.73,0,837,13.85,1,24.32,1.19,20.0,Approved
Johnson-Carr,hardyandrew@reese.org,"653 Kathryn Trace, Jenniferfort, MN 32955",31.64,12,86.12,0,830,8.64,8,23.41,7.46,20.0,Approved
"Pope, Smith and Fletcher",carolinenichols@salinas.info,"653 Kara Spur, South Dana, HI 88824",46.39,10,80.06,1,838,10.16,5,22.47,7.06,20.0,Approved
"Ortiz, Perez and Thornton",littlejordan@gmail.com,"2506 Jill Stravenue Suite 755, New Curtisburgh, VT 95547",32.76,8,94.83,1,814,10.83,5,24.89,6.41,20.0,Approved
Bonilla and Sons,dtaylor@odom-thomas.com,"599 Richard Meadows, Bergburgh, OR 53713",38.27,17,98.15,0,847,13.61,8,24.48,1.85,20.0,Approved
Greene Ltd,gmiddleton@sanford.com,"6194 Bradford Parkways, Davisshire, IN 37491",44.41,12,87.21,1,813,7.27,7,18.55,5.63,20.0,Approved
Barker-Fowler,carriepeterson@hotmail.com,"209 Phillip Cape, Holdershire, IL 45421",40.8,10,96.35,1,803,14.92,6,22.58,1.58,20.0,Approved
"Pace, Perez and Jordan",nadams@yahoo.com,"Unit 6789 Box 2620, DPO AA 65362",35.38,9,81.7,1,820,11.32,8,21.46,9.13,20.0,Approved
Gillespie-Gilmore,jonathan77@yahoo.com,"PSC 5815, Box 1980, APO AP 39933",22.09,13,99.09,0,802,4.6,6,21.64,2.88,20.0,Approved
Cox-Guzman,jonathan36@lara.com,"5578 Burch Orchard Apt. 338, Lake Teresa, MI 53313",26.99,9,95.32,0,849,7.67,4,19.58,9.73,20.0,Approved
Mcdonald Inc,vstrickland@gmail.com,"342 Rebecca Square, West Cynthialand, VA 82656",20.76,11,88.46,0,814,12.07,1,18.33,6.32,20.0,Approved
Nolan Ltd,leahcook@fisher-anderson.net,"175 Natalie Knoll Suite 051, South Micheleshire, GA 65765",12.44,1,88.76,1,650,3.72,10,24.15,3.14,20.0,Not Approved
"Johnson, Rodgers and Fowler",alisha86@james.biz,"269 Webster Port, West Kylestad, MD 30019",32.56,19,90.59,0,816,12.75,3,16.53,2.47,20.0,Approved
Smith-Murphy,huntdanielle@morris-johnson.com,"2464 Carr Cliffs Apt. 778, Feliciatown, IN 69717",17.28,13,87.55,0,796,14.49,19,13.67,8.39,20.0,Not Approved
Chapman PLC,davidvargas@gmail.com,"8512 Thomas Knoll Apt. 635, West David, KY 60255",26.97,14,87.55,0,801,10.67,5,21.84,6.08,20.0,Approved
"Diaz, Hall and Washington",michael68@campbell.biz,"03176 Tran Islands Suite 745, Jamesport, KS 48446",38.43,10,91.37,0,832,4.03,1,16.64,6.88,20.0,Approved
Harrison PLC,pstone@gmail.com,"3013 Warner Canyon Suite 872, South Laura, IN 52390",30.54,10,88.25,0,816,13.67,10,22.93,4.99,20.0,Approved
Cross and Sons,scott00@pacheco-quinn.com,"87359 Christopher Centers, Ritterberg, TN 57875",37.24,19,89.61,1,813,14.03,2,18.41,7.55,20.0,Approved
Washington-Blankenship,holmesmark@hotmail.com,"746 Tanya Mission, Leachfort, MT 01741",29.73,17,82.2,0,843,7.8,7,18.03,3.49,20.0,Approved
"Greene, Bauer and Jackson",uweber@hotmail.com,"0925 Jose Camp Apt. 793, Robertsonfort, DE 23771",31.27,10,77.16,3,786,3.79,15,14.73,3.43,13.73,Not Approved
"Brock, Davis and Robertson",davidjohnson@hale.com,"0835 Torres Bridge, New Deborahstad, NY 44318",35.08,1,97.34,1,650,11.49,3,12.96,3.02,20.0,Not Approved
Weaver-Payne,pfisher@wagner.com,"61233 Michael Hills, South Pennyfurt, OK 48897",41.64,18,91.25,1,840,11.55,2,24.07,5.64,20.0,Approved
Harris-Rollins,brenda54@hill-middleton.com,"71227 Thomas Coves, Richardbury, HI 54794",20.95,10,94.99,1,818,10.63,6,15.98,9.19,20.0,Approved
Simmons-Lee,timothy10@gmail.com,"1658 Smith Estates, Port Adriennemouth, GA 93874",21.86,7,93.16,0,839,6.37,7,15.9,4.56,20.0,Approved
Joseph and Sons,cynthia69@rodgers-harris.com,"0782 Moore Fork Apt. 291, Port Kathy, CT 11091",45.12,8,85.27,0,753,11.91,6,10.67,8.94,17.36,Not Approved
"Delacruz, Hernandez and Jimenez",fbutler@grant-fisher.com,"9955 Christopher Glen Suite 282, Laurahaven, IN 41965",29.98,10,95.03,3,726,4.32,7,9.48,3.36,5.61,Not Approved
Harris Ltd,jeanette31@anderson.biz,"017 Mark Point Suite 274, Katherineside, CT 73467",47.89,11,95.36,3,805,3.92,7,12.23,5.91,15.54,Not Approved
"Lamb, Jones and Smith",kellyterrell@lopez-stevens.net,"87001 Julie Plains Suite 243, Lake Sarahfort, AZ 34918",47.43,16,85.59,0,848,9.73,8,22.41,8.14,20.0,Approved
Ortiz-Harmon,andrewglenn@thompson.biz,"806 Pratt Extension, Gonzalezchester, LA 72614",49.21,9,88.97,1,800,10.27,8,23.52,9.41,20.0,Approved
"Wong, Johnson and Jimenez",pamelamendez@yahoo.com,"72178 Daniel Knolls, Harringtonland, KS 26785",46.02,5,66.25,3,847,11.07,17,14.64,1.77,13.94,Not Approved
"Ryan, Evans and Wood",allisondavis@mendez.org,"7560 Denise Wall, Port Rachael, AR 42870",36.23,15,59.45,3,659,7.05,14,17.79,8.85,16.67,Not Approved
Dean-Williamson,vasquezvictoria@gmail.com,"46713 Bush Mills Suite 598, North David, VA 96107",29.01,16,85.56,0,802,13.64,1,17.37,2.81,20.0,Approved
"Marquez, Williams and Bradley",brownandrew@hotmail.com,"2587 Roberts Crest, Lake Roy, VT 20232",34.0,15,97.71,0,848,5.8,3,17.8,4.67,20.0,Approved
Reyes LLC,beth88@pittman.com,"498 Mendez Camp Suite 209, Hillberg, AR 61169",21.79,19,85.48,0,804,12.54,9,15.72,4.45,20.0,Approved
Fisher and Sons,hbuchanan@gmail.com,"62280 Steven Keys Apt. 940, West Ronald, GA 75710",38.45,12,85.82,1,808,10.91,2,17.47,6.92,20.0,Approved
"Smith, White and Norman",hendersonmatthew@wallace-roberts.net,"1758 Dennis Alley Apt. 066, Bentleyton, OH 69059",26.87,7,86.45,0,839,3.38,6,20.33,9.53,20.0,Approved
Williams-Taylor,donaldjohnson@gmail.com,"410 Griffin Mews Suite 277, Sanchezton, IA 06622",41.59,2,82.28,3,650,9.76,18,7.9,8.18,20.0,Not Approved
Anderson-Harris,james00@gmail.com,"59882 Roberts Harbors, Williamsonville, IA 60380",21.49,14,81.47,0,818,6.69,5,16.85,4.22,20.0,Approved
Osborn LLC,wrightmatthew@dennis.com,"210 Daniels Circle, Port Gabrielatown, MN 88757",27.24,17,98.2,0,840,9.7,6,22.69,5.11,20.0,Approved
Adams and Sons,brettduncan@yahoo.com,"5843 Green Underpass Suite 622, Whiteheadton, NV 19212",49.07,14,89.78,1,650,7.85,9,23.42,9.16,5.12,Not Approved
Stanley Inc,tgarrett@hotmail.com,"5929 Holt Crossing, Port Willieton, KY 85653",47.02,11,90.82,1,802,3.91,3,19.8,5.08,20.0,Approved
"Fernandez, Thomas and Rios",ethanharris@gmail.com,"4244 Duffy Walks, West Robert, MT 12320",22.26,18,96.56,0,826,12.47,8,21.53,3.23,20.0,Approved
"Davis, Barton and Martinez",brownveronica@olson.org,"418 Parsons Ramp Suite 493, Nancyfort, OK 93235",20.21,19,96.53,0,809,11.38,2,22.72,5.77,20.0,Approved
Wright-Robbins,ileon@yahoo.com,"1658 Linda Meadow Suite 732, North Tracybury, WY 29288",21.06,10,86.5,0,650,3.52,13,17.76,6.05,14.21,Not Approved
"Hale, Ryan and Matthews",evelyn42@hotmail.com,"92651 Mccarthy Port, Port Jasonchester, SD 57084",40.08,14,83.86,0,803,6.23,3,24.82,4.72,20.0,Approved
"Smith, White and Norman",hendersonmatthew@wallace-roberts.net,"1758 Dennis Alley Apt. 066, Bentleyton, OH 69059",45.29,8,89.9,0,835,3.38,4,21.02,5.72,20.0,Approved
Schneider Ltd,patrick56@yahoo.com,"2947 Benjamin River Apt. 073, Port Meghan, ID 05713",45.6,11,87.76,0,805,5.18,5,20.17,7.68,20.0,Approved
Webb LLC,elizabeth39@smith.org,"503 Kyle Key, New Kevin, MN 89914",35.42,12,70.0,0,656,7.17,12,21.07,3.12,6.1,Not Approved
"Johnson, Rodgers and Fowler",alisha86@james.biz,"269 Webster Port, West Kylestad, MD 30019",28.91,10,82.35,0,834,12.75,1,20.77,6.14,20.0,Approved
Adams-Lamb,peter60@gmail.com,"398 Young Turnpike Apt. 664, Christopherbury, CT 84396",38.13,6,82.22,0,833,12.67,8,19.57,2.23,20.0,Approved
Nelson and Sons,stephanie57@reed.com,"PSC 8686, Box 0478, APO AE 68533",25.31,14,89.97,1,831,7.19,10,18.99,7.49,20.0,Approved
"Santiago, Bradley and Wright",lbennett@hotmail.com,"2530 Singh Junction, West Kimberly, IA 52209",39.64,12,99.54,0,800,13.13,7,24.4,7.54,20.0,Approved
Smith-Hale,rkim@baker-montgomery.net,"869 Jill Circle, South Chad, SC 14881",32.9,11,91.11,1,803,3.91,9,21.75,6.68,20.0,Approved
Bowers-Lee,katherine91@allen.info,"979 Nelson Plaza Suite 284, North Matthewborough, LA 42010",20.31,13,98.55,1,827,9.46,7,22.62,4.2,20.0,Approved
Thomas-Hooper,morenojessica@thompson-kim.com,"21158 Lauren Club Suite 248, New Juliechester, AR 87141",29.49,14,87.11,0,837,5.47,8,21.9,6.93,20.0,Approved
Clark LLC,idean@norris-duncan.com,"52496 Dean Keys Apt. 550, South Gregorychester, KY 11019",9.9,15,72.61,1,793,7.71,16,13.48,6.42,20.0,Not Approved
"Terrell, Hall and Robinson",johnsonmichele@gmail.com,"812 Freeman Inlet, Sharonfurt, ND 42807",30.47,19,93.83,1,805,8.7,6,15.37,2.04,20.0,Approved
Martinez Group,joshuaclements@pratt.com,"Unit 9673 Box 8501, DPO AA 18187",46.49,11,81.63,0,831,10.61,2,17.35,2.53,20.0,Approved
Simmons-Lee,timothy10@gmail.com,"1658 Smith Estates, Port Adriennemouth, GA 93874",21.86,7,93.16,0,839,6.37,7,15.9,4.56,20.0,Approved
Cannon-Smith,victoria08@hotmail.com,"731 Smith Village Suite 905, Tranview, FL 71180",29.54,15,82.53,2,796,5.27,15,22.83,8.25,20.0,Not Approved
Foley-Phillips,martindiana@gmail.com,"33862 Yang Shore, North Kristi, KS 23755",35.63,5,89.99,0,817,10.4,10,23.71,1.26,20.0,Approved
Gutierrez-Cortez,johnstonjoseph@hotmail.com,"61294 Jeffrey Ridges Apt. 405, Lake Marie, NM 57792",26.72,10,80.3,1,821,9.52,10,24.13,6.6,20.0,Approved
Powell-Sanchez,laurenclark@hotmail.com,"71207 Marquez Valley, Hillhaven, AZ 58472",37.84,9,92.41,1,842,4.91,2,16.61,3.65,20.0,Approved
Booker-Nelson,jonathan94@gmail.com,"3681 Joseph Gateway Apt. 329, North Brendamouth, NH 87797",23.85,17,84.24,1,814,14.27,6,20.34,8.83,20.0,Approved
Robinson Inc,breanna93@yahoo.com,"453 Mary Mills Apt. 562, East Debra, AK 06251",26.97,15,99.76,0,820,11.16,10,16.13,2.21,20.0,Approved
"Smith, Evans and Jones",derek23@hotmail.com,"9105 Wells Vista, Port William, AK 07196",21.82,19,98.09,1,822,8.74,9,20.87,7.57,20.0,Approved
"Greene, Bauer and Jackson",uweber@hotmail.com,"0925 Jose Camp Apt. 793, Robertsonfort, DE 23771",31.27,10,77.16,3,786,3.79,15,14.73,3.43,13.73,Not Approved
Juarez-Farrell,stephenslarry@walker.com,"781 Roberts Station Apt. 423, Harrisonmouth, DE 02363",29.74,14,89.76,0,825,4.23,9,22.36,6.8,20.0,Approved
Warner PLC,pclark@moyer-cruz.com,"8164 Robert Brook, East Gabriella, ME 32942",18.15,7,79.47,0,753,9.34,5,6.5,1.36,15.37,Not Approved
"Jones, Scott and Williams",wbradley@hotmail.com,"3781 Mandy Canyon, Christineton, MA 37274",40.02,11,85.34,0,816,14.68,9,24.15,9.81,20.0,Approved
"Hale, Ryan and Matthews",evelyn42@hotmail.com,"92651 Mccarthy Port, Port Jasonchester, SD 57084",30.61,16,99.14,0,849,6.23,2,18.83,8.89,20.0,Approved
Phillips-Washington,ashley92@gmail.com,"8930 Reid Way, South Jamesville, MN 78292",45.49,9,84.41,1,849,8.41,5,24.99,2.42,20.0,Approved
"Williams, Lambert and Riggs",loribarker@yahoo.com,"19555 Julie Cape Suite 445, South Randy, WI 25389",35.7,9,90.65,1,812,12.42,8,24.31,5.52,20.0,Approved
"Stevenson, Robinson and Martin",kristinenichols@meadows.com,"3367 Khan Squares Suite 831, Port Michaeltown, IA 50625",27.44,11,83.38,1,827,9.14,4,17.74,7.57,20.0,Approved
Gonzalez LLC,angelajones@yahoo.com,"70656 Ronald Mountain, Port Seanstad, IA 63131",45.11,13,84.94,0,815,5.42,8,23.28,3.69,20.0,Approved
Rasmussen Ltd,xharper@yahoo.com,"3767 Claudia Cape, Michaelton, WA 79394",36.73,9,86.05,2,650,7.2,9,22.41,9.07,11.14,Not Approved
"Taylor, Pittman and Charles",bauerkimberly@hansen-taylor.com,"18645 Brown Canyon Apt. 417, Carterhaven, NY 42640",31.82,17,93.11,1,663,6.51,1,16.56,7.63,20.0,Not Approved
"Smith, Aguirre and Walsh",waltergreen@yahoo.com,"91332 Sarah Islands, Jessicaville, TN 85257",47.47,15,80.93,0,807,3.63,4,18.04,5.33,20.0,Approved
"Hart, Marsh and Greer",gentrybrandon@huffman.com,"USNS Harris, FPO AP 23442",29.31,17,82.31,0,804,13.59,4,22.57,1.22,20.0,Approved
Barry and Sons,vazquezthomas@gmail.com,"119 West Underpass Suite 867, Greenborough, SD 91031",33.54,11,99.19,0,811,14.05,6,22.28,2.01,20.0,Approved
"Wolfe, Kennedy and Kim",mcintoshkristi@tran.com,"766 Mark Unions, Lopezshire, HI 38226",43.75,15,84.26,0,818,4.75,2,19.99,4.94,20.0,Approved
King-Morales,jeremy68@lloyd-wilkins.com,"871 Bailey Mountains, Mooreside, TX 09674",43.61,6,93.87,1,834,13.26,4,15.86,4.01,20.0,Approved
Webb LLC,elizabeth39@smith.org,"503 Kyle Key, New Kevin, MN 89914",35.42,12,70.0,0,656,7.17,12,21.07,3.12,6.1,Not Approved
"Patterson, Smith and Li",dominiqueharrell@rodriguez-williams.org,"Unit 9243 Box 4830, DPO AE 28876",24.91,3,92.47,1,650,10.07,6,12.38,3.33,13.46,Not Approved
Bautista-Woods,ivaughn@hotmail.com,"995 Francisco Extensions Suite 280, Smithton, IL 58316",39.53,14,76.64,3,650,3.46,18,15.13,5.98,11.91,Not Approved
Reeves-Shaw,swilson@gmail.com,"675 Abigail Flat Apt. 247, Armstrongmouth, AL 65426",23.19,8,94.05,0,800,9.16,7,18.91,7.65,20.0,Approved
Gonzales and Sons,anthony82@munoz-santos.com,"Unit 6611 Box 7372, DPO AP 71581",47.34,12,93.84,1,816,9.99,5,20.71,8.4,20.0,Approved
"Wolfe, Kennedy and Kim",mcintoshkristi@tran.com,"766 Mark Unions, Lopezshire, HI 38226",43.75,15,84.26,0,818,4.75,2,19.99,4.94,20.0,Approved
"Li, Rogers and Williamson",qparrish@gmail.com,"81236 Ashley Highway, Lake Jasonfurt, NM 71004",48.62,6,90.07,1,819,9.57,7,15.37,1.53,20.0,Approved
Castillo-Williams,seth68@yahoo.com,"340 Stewart Shore, Farmerfurt, MI 85392",22.58,11,85.16,0,820,6.8,2,15.29,5.26,20.0,Approved
"Webster, Nelson and Pena",cooperjohn@hotmail.com,"Unit 2559 Box 0287, DPO AE 47530",24.78,10,80.84,1,681,3.92,2,24.46,7.24,7.87,Not Approved
Phillips-Washington,ashley92@gmail.com,"8930 Reid Way, South Jamesville, MN 78292",30.87,12,85.04,0,847,8.41,8,23.19,6.66,20.0,Approved
Gonzalez-Jones,christineaustin@gmail.com,"100 David Ridges, Pamelaburgh, TN 65640",45.53,8,88.83,0,840,11.02,10,15.42,7.64,20.0,Approved
"Adkins, Cohen and Berry",seanroy@gmail.com,"2980 Jeffrey Trail Suite 808, Mariashire, ID 93567",18.51,12,89.56,0,822,7.65,12,8.81,4.32,11.89,Not Approved
Thompson Group,ngardner@murphy.info,"0493 Katherine Rapid Apt. 443, Markton, KY 93010",20.79,13,88.84,0,805,3.8,5,17.63,6.39,20.0,Approved
Adams-Lamb,peter60@gmail.com,"398 Young Turnpike Apt. 664, Christopherbury, CT 84396",29.77,13,96.19,1,801,12.67,8,16.84,7.31,20.0,Approved
"Flores, Hall and Allen",whitemichael@yahoo.com,"9039 Foster Run, Port Daniellefurt, MA 50056",11.28,12,91.31,0,742,3.53,19,20.38,1.46,20.0,Not Approved
Singleton-Waller,rdominguez@hotmail.com,"USNV Sullivan, FPO AP 78769",22.59,6,95.76,1,822,5.71,7,17.87,2.8,20.0,Approved
Moore-Ramos,brianmartinez@white.info,"857 Steven Stravenue, North Erinberg, OR 86312",42.76,8,97.82,1,848,14.08,10,15.56,7.08,20.0,Approved
Benjamin-Nelson,melissa37@dunn-allison.biz,"728 Cynthia Point, Lake Michael, VT 54822",34.15,12,82.28,1,805,7.65,4,17.41,7.37,20.0,Approved
Olson PLC,xrivera@yahoo.com,"448 Bauer Falls Suite 948, Forbesville, MN 48378",38.65,17,92.65,0,816,3.8,9,19.93,6.67,20.0,Approved
"Watkins, Hernandez and Yoder",stephanie29@garcia-powell.com,"2046 Lee Pine, Brettchester, NC 82334",46.5,18,92.78,1,830,6.48,10,22.18,7.34,20.0,Approved
"James, Hoffman and Schmidt",colemaneric@gmail.com,"7597 Ortiz Lake, Port Andrea, ND 72492",35.12,14,89.85,1,828,6.83,5,21.89,8.12,20.0,Approved
"Simpson, Wang and Brown",millertodd@bray-guerrero.biz,"53609 James Courts Apt. 125, Lake Nathaniel, ME 56369",37.31,14,55.63,1,650,8.99,7,19.14,1.85,11.91,Not Approved
Thompson-Fleming,lisawilson@hotmail.com,"6618 Tammy Harbors Suite 944, Lake Mariechester, ME 10124",5.26,18,63.92,2,650,9.26,10,11.05,3.38,16.26,Not Approved
Aguilar Group,greenmichael@wright.com,"218 Garrett Parkway Apt. 386, West Jordan, MN 03773",28.08,13,74.87,1,764,12.38,18,12.08,6.1,11.69,Not Approved
Hill PLC,emilysutton@hotmail.com,"0515 Green Prairie Apt. 738, West Jessica, SC 69059",23.02,6,99.61,1,819,14.73,8,21.42,6.2,20.0,Approved
Benjamin-Nelson,melissa37@dunn-allison.biz,"728 Cynthia Point, Lake Michael, VT 54822",34.15,12,82.28,1,805,7.65,4,17.41,7.37,20.0,Approved
Henderson-Miles,audrey07@brown.com,"77737 Morgan Village, South Mark, NM 80390",28.28,17,89.42,1,813,12.02,9,22.76,4.07,20.0,Approved
"Smith, White and Norman",hendersonmatthew@wallace-roberts.net,"1758 Dennis Alley Apt. 066, Bentleyton, OH 69059",28.79,6,98.22,1,821,3.38,1,18.35,6.33,20.0,Approved
"Harvey, Mccormick and Perkins",baileyclarke@williams-mcintosh.org,"248 Williams Pines Apt. 611, Booneport, ID 68022",41.69,7,93.28,1,822,7.63,5,17.87,2.13,20.0,Approved
Cannon and Sons,kylenelson@gmail.com,"07825 Morgan Heights, South Williambury, PA 79273",27.77,18,81.88,0,829,12.44,4,23.03,4.89,20.0,Approved
"Johnson, Bailey and Horne",stephanie69@yahoo.com,"0256 Christine Brooks, Sherristad, MD 28387",44.54,13,76.15,1,731,10.58,6,16.14,4.18,20.0,Not Approved
Johnson Group,sheryl33@coleman.com,"914 Price Inlet, Gregorybury, SD 20318",40.88,16,93.14,1,801,6.83,3,19.24,2.13,20.0,Approved
Rasmussen Ltd,xharper@yahoo.com,"3767 Claudia Cape, Michaelton, WA 79394",36.73,9,86.05,2,650,7.2,9,22.41,9.07,11.14,Not Approved
"Gonzalez, Walker and Williams",jessica94@yahoo.com,"09798 Nancy Street, Kristintown, WA 71972",13.91,8,59.72,1,650,14.86,6,10.92,9.76,20.0,Not Approved
Fisher and Sons,hbuchanan@gmail.com,"62280 Steven Keys Apt. 940, West Ronald, GA 75710",44.19,10,88.88,1,807,10.91,7,19.72,7.03,20.0,Approved
"Monroe, James and Cardenas",bentonelaine@hotmail.com,"47536 Mccullough Lodge Suite 628, Port Vickie, MI 83841",32.03,10,89.02,1,828,8.08,2,23.84,8.47,20.0,Approved
Reyes-Bowers,jackiejacobs@hotmail.com,"72880 Mcmahon Point, Brownton, MN 16889",31.81,19,93.9,1,849,13.59,9,23.55,4.74,20.0,Approved
Alvarez-Wyatt,sherribecker@hotmail.com,"6148 Jesus Wells Apt. 565, Jenniferchester, TX 93033",21.67,17,93.01,1,838,6.64,5,17.9,3.59,20.0,Approved
Dillon-Kennedy,amanda42@hotmail.com,"PSC 8514, Box 5837, APO AA 47261",14.3,3,57.53,3,747,8.55,3,13.39,9.07,17.33,Not Approved
Irwin and Sons,rboyle@hotmail.com,"262 Lindsey Estates, Ronaldfort, MA 02840",47.72,15,85.87,0,823,9.48,4,22.97,5.35,20.0,Approved
Reyes LLC,beth88@pittman.com,"498 Mendez Camp Suite 209, Hillberg, AR 61169",21.79,19,85.48,0,804,12.54,9,15.72,4.45,20.0,Approved
Adams-Lamb,peter60@gmail.com,"398 Young Turnpike Apt. 664, Christopherbury, CT 84396",38.13,6,82.22,0,833,12.67,8,19.57,2.23,20.0,Approved
Boyd Inc,kristen45@hotmail.com,"6112 Sloan Ferry Suite 456, Jenniferfort, MD 20440",47.49,13,95.08,0,836,11.75,8,18.22,3.52,20.0,Approved
Stanley Inc,tgarrett@hotmail.com,"5929 Holt Crossing, Port Willieton, KY 85653",47.02,11,90.82,1,802,3.91,3,19.8,5.08,20.0,Approved
Larson Group,caroldiaz@gmail.com,"PSC 8430, Box 0147, APO AA 26892",36.75,8,77.93,0,675,7.87,17,6.33,7.29,20.0,Not Approved
"Johnson, Rodgers and Fowler",alisha86@james.biz,"269 Webster Port, West Kylestad, MD 30019",32.56,19,90.59,0,816,12.75,3,16.53,2.47,20.0,Approved
Brock-Zhang,edward20@walls.info,"5660 Ryan Way Suite 054, Arthurside, NJ 50445",34.5,8,90.06,1,806,10.42,6,18.24,2.51,20.0,Approved
"Roberts, Tanner and Higgins",lmcpherson@spencer.biz,"103 Jason Locks, East Christopher, ID 42584",22.22,10,97.61,1,837,6.81,4,24.77,8.14,20.0,Approved
Keller-Nash,graycrystal@greer.com,"4471 Johnson Park, Port Diane, WV 46230",23.24,9,95.17,1,845,9.86,6,23.35,5.27,20.0,Approved
"Hale, Ryan and Matthews",evelyn42@hotmail.com,"92651 Mccarthy Port, Port Jasonchester, SD 57084",30.61,16,99.14,0,849,6.23,2,18.83,8.89,20.0,Approved
"Drake, Davies and Young",warrenkimberly@yahoo.com,"4345 Angela Parkways, Bowmanmouth, MS 93071",23.66,13,93.67,0,820,6.17,2,24.36,1.72,20.0,Approved
"Skinner, Rivera and Hawkins",nmaxwell@long.biz,"631 Powell Mountain, Ericfort, DC 77465",18.96,15,61.32,0,650,3.62,10,24.24,8.13,20.0,Not Approved
Turner Group,rhonda79@hotmail.com,"9012 Jaime Highway Apt. 513, New Stephanieport, AZ 93833",9.87,3,88.73,3,668,13.13,19,9.84,2.18,10.85,Not Approved
"Whitney, Reese and Lewis",levi16@yahoo.com,"USNS Galvan, FPO AE 35319",43.66,16,80.65,3,688,7.44,11,13.67,1.6,20.0,Not Approved
Flores-Murray,kellylandry@hotmail.com,"USCGC Bell, FPO AP 15774",26.18,19,98.52,0,834,5.59,5,21.66,4.13,20.0,Approved
Pierce and Sons,joe05@hotmail.com,"8849 Cook Street Apt. 122, Jeremyborough, SC 95864",39.18,5,97.72,2,650,10.12,16,22.46,6.9,18.87,Not Approved
Bowers-Lee,katherine91@allen.info,"979 Nelson Plaza Suite 284, North Matthewborough, LA 42010",44.71,14,88.88,1,812,9.46,7,23.32,5.75,20.0,Approved
"Jackson, Strong and Jimenez",walshdavid@salas.org,"544 Jessica Wells, Port Courtney, MD 23530",26.39,11,56.99,2,738,12.72,18,14.5,4.9,12.61,Not Approved
Richardson-Goodman,mathew13@gmail.com,"USS Moore, FPO AA 72403",29.16,9,85.81,0,821,8.41,6,17.24,8.58,20.0,Approved
Walker Group,morganjackson@gmail.com,"6831 James Path, South Amanda, OH 59724",29.03,2,78.0,3,650,8.32,13,6.31,6.54,8.27,Not Approved
"Mckinney, Walker and Smith",laneamanda@wilkins.com,"6892 Jodi Isle Suite 398, North Thomasville, WI 82564",27.03,12,96.77,0,817,4.18,9,18.79,5.93,20.0,Approved
"Bailey, Guzman and Cain",jonathan24@gmail.com,"USNV Russell, FPO AP 66592",43.21,2,74.6,2,767,5.6,3,22.71,2.81,13.16,Not Approved
"Hansen, Smith and Smith",fwarner@yahoo.com,"72735 Welch Roads Apt. 760, Cookbury, VT 57194",44.28,14,80.71,0,814,9.84,3,17.07,7.09,20.0,Approved
Young-Salinas,debrabuchanan@jones.org,"94333 Moore Curve Apt. 304, Allisonmouth, OK 93061",22.64,16,81.67,1,806,14.07,4,21.23,3.81,20.0,Approved
"Vazquez, Spencer and Martin",elizabeth05@yahoo.com,"PSC 4675, Box 0104, APO AA 44181",20.22,10,99.99,0,814,7.73,7,24.67,7.12,20.0,Approved
Mclaughlin-Berry,andrewgrant@simmons-robertson.com,"0916 Smith Station, West Lori, KS 50307",35.31,9,86.59,1,839,5.78,4,19.78,4.05,20.0,Approved
Holloway-Sherman,bishopmarcus@gregory.com,"28433 Christopher Valley Suite 127, Tapiatown, VA 66958",26.96,17,85.25,1,807,11.47,12,15.85,1.72,20.0,Not Approved
Williams Inc,newmankeith@edwards.net,"7497 David Trail, Lake Brianview, NC 96769",6.04,7,79.1,1,755,5.74,4,20.35,8.99,20.0,Not Approved
Sosa-Clay,elopez@hotmail.com,"02923 Zhang Roads, Tannerstad, AR 19194",29.63,12,86.26,0,830,5.7,10,21.38,1.82,20.0,Approved
Martin-Brown,yphillips@yahoo.com,"93276 Mclean Curve Apt. 341, Ruizchester, SC 54733",37.22,9,64.45,3,747,7.26,16,14.51,2.42,20.0,Not Approved
Rogers-Clark,stephanieburns@morgan.com,"19230 Diana Locks, Robertside, IN 56080",32.1,9,94.84,0,832,14.43,9,15.79,3.91,20.0,Approved
Hamilton LLC,christine18@stewart-gonzalez.biz,"739 Joseph Freeway Suite 628, Terrellbury, UT 49052",41.65,16,89.74,1,829,7.28,4,19.36,6.99,20.0,Approved
Maldonado-King,twillis@gmail.com,"720 Brown Trail Apt. 785, Wadeport, IN 89913",24.45,18,55.03,2,793,13.1,4,22.71,6.71,5.81,Not Approved
Aguilar Group,greenmichael@wright.com,"218 Garrett Parkway Apt. 386, West Jordan, MN 03773",28.08,13,74.87,1,764,12.38,18,12.08,6.1,11.69,Not Approved
Schneider Ltd,patrick56@yahoo.com,"2947 Benjamin River Apt. 073, Port Meghan, ID 05713",45.6,11,87.76,0,805,5.18,5,20.17,7.68,20.0,Approved
"Fernandez, Thomas and Rios",ethanharris@gmail.com,"4244 Duffy Walks, West Robert, MT 12320",22.26,18,96.56,0,826,12.47,8,21.53,3.23,20.0,Approved
